Record_Number,Listing_ID,Property_Title,Property_Type,Configuration,Price_2025_INR,Price_in_Lakhs_INR,Area_sqft,Bedrooms,Bathrooms,Price_per_Sqft,Locality,City,Zone,Builder_Owner,Construction_Status,RERA_Status,Facing,Furnishing,Price_2016_INR,Price_2017_INR,Price_2018_INR,Price_2019_INR,Price_2020_INR,Price_2021_INR,Price_2022_INR,Price_2023_INR,Price_2024_INR
607,1786023688-607,Kolte-Patil Avenue Towers,3 BHK Flat,3 BHK,11850000.0,118.5,1557.0,3,3,7611.0,Yelahanka,Bangalore,South,Kolte-Patil,Under Construction,Yes,North-East,Unfurnished,7110000.0,7702500.0,8295000.0,8887500.0,9480000.0,10072500.0,10665000.0,11257500.0,11613000.0
608,1786023688-608,Piramal Realty Oasis Park,4 BHK Flat,4 BHK,16930000.0,169.3,2026.0,4,4,8356.0,Sarjapur Road,Bangalore,Central,Piramal Realty,Ready To Move,Yes,North,Semi-Furnished,10158000.0,11004500.0,11851000.0,12697500.0,13544000.0,14390500.0,15237000.0,16083500.0,16591400.0
609,1786023688-609,Prestige Group Solitaire Court,5 BHK Villa,5 BHK,18860000.0,188.6,2460.0,5,4,7667.0,Bellandur,Bangalore,South,Prestige Group,Under Construction,Yes,North-East,Unfurnished,11316000.0,12259000.0,13202000.0,14145000.0,15088000.0,16031000.0,16974000.0,17917000.0,18482800.0
610,1786023688-610,DLF Limited Signature Gardens,1 BHK Flat,1 BHK,6800000.0,68.0,703.0,1,1,9673.0,Thanisandra,Bangalore,South,DLF Limited,Ready To Move,Yes,North,Unfurnished,4080000.0,4420000.0,4760000.0,5100000.0,5440000.0,5780000.0,6120000.0,6460000.0,6664000.0
611,1786023688-611,Godrej Properties Crown Haven,2 BHK Flat,2 BHK,9070000.0,90.7,1097.0,2,2,8268.0,Marathahalli,Bangalore,Central,Godrej Properties,Ready To Move,Yes,North-East,Unfurnished,5442000.0,5895500.0,6349000.0,6802500.0,7256000.0,7709500.0,8163000.0,8616500.0,8888600.0
612,1786023688-612,Sobha Limited Royal Enclave,3 BHK Flat,3 BHK,14060000.0,140.6,1496.0,3,3,9398.0,Jayanagar,Bangalore,Central,Sobha Limited,Under Construction,Yes,North-East,Unfurnished,8436000.0,9139000.0,9842000.0,10545000.0,11248000.0,11951000.0,12654000.0,13357000.0,13778800.0
613,1786023688-613,Oberoi Realty Grand Square,4 BHK Flat,4 BHK,19680000.0,196.8,2082.0,4,4,9452.0,Rajajinagar,Bangalore,South,Oberoi Realty,Under Construction,Yes,East,Unfurnished,11808000.0,12792000.0,13776000.0,14760000.0,15744000.0,16728000.0,17712000.0,18696000.0,19286400.0
614,1786023688-614,Hiranandani Group Emerald Plaza,5 BHK Villa,5 BHK,19500000.0,195.0,2328.0,5,4,8376.0,Banashankari,Bangalore,East,Hiranandani Group,Ready To Move,Yes,North,Fully-Furnished,11700000.0,12675000.0,13650000.0,14625000.0,15600000.0,16575000.0,17550000.0,18525000.0,19110000.0
615,1786023688-615,Lodha Group Serene Terraces,1 BHK Flat,1 BHK,5210000.0,52.1,586.0,1,1,8891.0,Malleshwaram,Bangalore,East,Lodha Group,Ready To Move,Yes,North-East,Fully-Furnished,3126000.0,3386500.0,3647000.0,3907500.0,4168000.0,4428500.0,4689000.0,4949500.0,5105800.0
616,1786023688-616,Aparna Constructions Skyline Residences,2 BHK Flat,2 BHK,10250000.0,102.5,1040.0,2,2,9856.0,Kaggadasapura,Bangalore,Central,Aparna Constructions,Ready To Move,Yes,East,Semi-Furnished,6150000.0,6662500.0,7175000.0,7687500.0,8200000.0,8712500.0,9225000.0,9737500.0,10045000.0
617,1786023688-617,Brigade Group Imperia Greens,3 BHK Flat,3 BHK,12680000.0,126.8,1434.0,3,3,8842.0,BTM Layout,Bangalore,North,Brigade Group,Ready To Move,Yes,West,Unfurnished,7608000.0,8242000.0,8876000.0,9510000.0,10144000.0,10778000.0,11412000.0,12046000.0,12426400.0
618,1786023688-618,Puravankara Elegance Estate,4 BHK Flat,4 BHK,16700000.0,167.0,1890.0,4,4,8836.0,JP Nagar,Bangalore,Central,Puravankara,Ready To Move,Yes,West,Semi-Furnished,10020000.0,10855000.0,11690000.0,12525000.0,13360000.0,14195000.0,15030000.0,15865000.0,16366000.0
619,1786023688-619,Rustomjee Urban Heights,5 BHK Villa,5 BHK,16810000.0,168.1,2318.0,5,4,7252.0,C V Raman Nagar,Bangalore,North,Rustomjee,Under Construction,Yes,North,Unfurnished,10086000.0,10926500.0,11767000.0,12607500.0,13448000.0,14288500.0,15129000.0,15969500.0,16473800.0
620,1786023688-620,Tata Housing Central Villas,1 BHK Flat,1 BHK,4410000.0,44.1,577.0,1,1,7643.0,Varthur,Bangalore,North,Tata Housing,Ready To Move,Yes,North,Unfurnished,2646000.0,2866500.0,3087000.0,3307500.0,3528000.0,3748500.0,3969000.0,4189500.0,4321800.0
621,1786023688-621,Mahindra Lifespaces Valley Towers,2 BHK Flat,2 BHK,8350000.0,83.5,1194.0,2,2,6993.0,Whitefield,Bangalore,South,Mahindra Lifespaces,Under Construction,Yes,West,Fully-Furnished,5010000.0,5427500.0,5845000.0,6262500.0,6680000.0,7097500.0,7515000.0,7932500.0,8183000.0
622,1786023688-622,Casagrand Heights Park,3 BHK Flat,3 BHK,12170000.0,121.7,1578.0,3,3,7712.0,Koramangala,Bangalore,Central,Casagrand,Ready To Move,Yes,North,Unfurnished,7302000.0,7910500.0,8519000.0,9127500.0,9736000.0,10344500.0,10953000.0,11561500.0,11926600.0
623,1786023688-623,Kolte-Patil Palms Court,4 BHK Flat,4 BHK,16580000.0,165.8,2010.0,4,4,8249.0,Indiranagar,Bangalore,South,Kolte-Patil,Under Construction,Yes,North-East,Fully-Furnished,9948000.0,10777000.0,11606000.0,12435000.0,13264000.0,14093000.0,14922000.0,15751000.0,16248400.0
624,1786023688-624,Piramal Realty Vista Gardens,5 BHK Villa,5 BHK,24100000.0,241.0,2416.0,5,4,9975.0,HSR Layout,Bangalore,North,Piramal Realty,Ready To Move,Yes,West,Fully-Furnished,14460000.0,15665000.0,16870000.0,18075000.0,19280000.0,20485000.0,21690000.0,22895000.0,23618000.0
625,1786023688-625,Prestige Group Avenue Haven,1 BHK Flat,1 BHK,6510000.0,65.1,736.0,1,1,8845.0,Electronic City,Bangalore,North,Prestige Group,Under Construction,Yes,North,Unfurnished,3906000.0,4231500.0,4557000.0,4882500.0,5208000.0,5533500.0,5859000.0,6184500.0,6379800.0
626,1786023688-626,DLF Limited Oasis Enclave,2 BHK Flat,2 BHK,8460000.0,84.6,995.0,2,2,8503.0,Hebbal,Bangalore,East,DLF Limited,Under Construction,Yes,North-East,Semi-Furnished,5076000.0,5499000.0,5922000.0,6345000.0,6768000.0,7191000.0,7614000.0,8037000.0,8290800.0
627,1786023688-627,Godrej Properties Solitaire Square,3 BHK Flat,3 BHK,14620000.0,146.2,1642.0,3,3,8904.0,Yelahanka,Bangalore,East,Godrej Properties,Under Construction,Yes,North,Fully-Furnished,8772000.0,9503000.0,10234000.0,10965000.0,11696000.0,12427000.0,13158000.0,13889000.0,14327600.0
628,1786023688-628,Sobha Limited Signature Plaza,4 BHK Flat,4 BHK,18440000.0,184.4,2096.0,4,4,8798.0,Sarjapur Road,Bangalore,South,Sobha Limited,Ready To Move,Yes,West,Semi-Furnished,11064000.0,11986000.0,12908000.0,13830000.0,14752000.0,15674000.0,16596000.0,17518000.0,18071200.0
629,1786023688-629,Oberoi Realty Crown Terraces,5 BHK Villa,5 BHK,19450000.0,194.5,2446.0,5,4,7952.0,Bellandur,Bangalore,North,Oberoi Realty,Under Construction,Yes,West,Semi-Furnished,11670000.0,12642500.0,13615000.0,14587500.0,15560000.0,16532500.0,17505000.0,18477500.0,19061000.0
630,1786023688-630,Hiranandani Group Royal Residences,1 BHK Flat,1 BHK,5180000.0,51.8,547.0,1,1,9470.0,Thanisandra,Bangalore,West,Hiranandani Group,Under Construction,Yes,North-East,Fully-Furnished,3108000.0,3367000.0,3626000.0,3885000.0,4144000.0,4403000.0,4662000.0,4921000.0,5076400.0
631,1786023688-631,Lodha Group Grand Greens,2 BHK Flat,2 BHK,8750000.0,87.5,967.0,2,2,9049.0,Marathahalli,Bangalore,East,Lodha Group,Under Construction,Yes,West,Unfurnished,5250000.0,5687500.0,6125000.0,6562500.0,7000000.0,7437500.0,7875000.0,8312500.0,8575000.0
632,1786023688-632,Aparna Constructions Emerald Estate,3 BHK Flat,3 BHK,11150000.0,111.5,1429.0,3,3,7803.0,Jayanagar,Bangalore,Central,Aparna Constructions,Ready To Move,Yes,North-East,Fully-Furnished,6690000.0,7247500.0,7805000.0,8362500.0,8920000.0,9477500.0,10035000.0,10592500.0,10927000.0
633,1786023688-633,Brigade Group Serene Heights,4 BHK Flat,4 BHK,19640000.0,196.4,1948.0,4,4,10082.0,Rajajinagar,Bangalore,Central,Brigade Group,Ready To Move,Yes,North,Fully-Furnished,11784000.0,12766000.0,13748000.0,14730000.0,15712000.0,16694000.0,17676000.0,18658000.0,19247200.0
634,1786023688-634,Puravankara Skyline Villas,5 BHK Villa,5 BHK,18120000.0,181.2,2372.0,5,4,7639.0,Banashankari,Bangalore,North,Puravankara,Under Construction,Yes,North-East,Unfurnished,10872000.0,11778000.0,12684000.0,13590000.0,14496000.0,15402000.0,16308000.0,17214000.0,17757600.0
635,1786023688-635,Rustomjee Imperia Towers,1 BHK Flat,1 BHK,4140000.0,41.4,559.0,1,1,7406.0,Malleshwaram,Bangalore,South,Rustomjee,Under Construction,Yes,West,Semi-Furnished,2484000.0,2691000.0,2898000.0,3105000.0,3312000.0,3519000.0,3726000.0,3933000.0,4057200.0
636,1786023688-636,Tata Housing Elegance Park,2 BHK Flat,2 BHK,9330000.0,93.3,1080.0,2,2,8639.0,Kaggadasapura,Bangalore,East,Tata Housing,Under Construction,Yes,North-East,Unfurnished,5598000.0,6064500.0,6531000.0,6997500.0,7464000.0,7930500.0,8397000.0,8863500.0,9143400.0
637,1786023688-637,Mahindra Lifespaces Urban Court,3 BHK Flat,3 BHK,15150000.0,151.5,1496.0,3,3,10127.0,BTM Layout,Bangalore,East,Mahindra Lifespaces,Ready To Move,Yes,North,Fully-Furnished,9090000.0,9847500.0,10605000.0,11362500.0,12120000.0,12877500.0,13635000.0,14392500.0,14847000.0
638,1786023688-638,Casagrand Central Gardens,4 BHK Flat,4 BHK,14760000.0,147.6,2021.0,4,4,7303.0,JP Nagar,Bangalore,West,Casagrand,Under Construction,Yes,West,Unfurnished,8856000.0,9594000.0,10332000.0,11070000.0,11808000.0,12546000.0,13284000.0,14022000.0,14464800.0
639,1786023688-639,Kolte-Patil Valley Haven,5 BHK Villa,5 BHK,16410000.0,164.1,2319.0,5,4,7076.0,C V Raman Nagar,Bangalore,West,Kolte-Patil,Under Construction,Yes,West,Fully-Furnished,9846000.0,10666500.0,11487000.0,12307500.0,13128000.0,13948500.0,14769000.0,15589500.0,16081800.0
640,1786023688-640,Piramal Realty Heights Enclave,1 BHK Flat,1 BHK,5700000.0,57.0,605.0,1,1,9421.0,Varthur,Bangalore,Central,Piramal Realty,Under Construction,Yes,East,Semi-Furnished,3420000.0,3705000.0,3990000.0,4275000.0,4560000.0,4845000.0,5130000.0,5415000.0,5586000.0
641,1786023688-641,Prestige Group Palms Square,2 BHK Flat,2 BHK,9020000.0,90.2,974.0,2,2,9261.0,Whitefield,Bangalore,East,Prestige Group,Ready To Move,Yes,North-East,Fully-Furnished,5412000.0,5863000.0,6314000.0,6765000.0,7216000.0,7667000.0,8118000.0,8569000.0,8839600.0
642,1786023688-642,DLF Limited Vista Plaza,3 BHK Flat,3 BHK,10840000.0,108.4,1486.0,3,3,7295.0,Koramangala,Bangalore,South,DLF Limited,Under Construction,Yes,North,Unfurnished,6504000.0,7046000.0,7588000.0,8130000.0,8672000.0,9214000.0,9756000.0,10298000.0,10623200.0
643,1786023688-643,Godrej Properties Avenue Terraces,4 BHK Flat,4 BHK,14930000.0,149.3,2006.0,4,4,7443.0,Indiranagar,Bangalore,Central,Godrej Properties,Ready To Move,Yes,West,Semi-Furnished,8958000.0,9704500.0,10451000.0,11197500.0,11944000.0,12690500.0,13437000.0,14183500.0,14631400.0
644,1786023688-644,Sobha Limited Oasis Residences,5 BHK Villa,5 BHK,19750000.0,197.5,2418.0,5,4,8168.0,HSR Layout,Bangalore,East,Sobha Limited,Ready To Move,Yes,East,Fully-Furnished,11850000.0,12837500.0,13825000.0,14812500.0,15800000.0,16787500.0,17775000.0,18762500.0,19355000.0
645,1786023688-645,Oberoi Realty Solitaire Greens,1 BHK Flat,1 BHK,3680000.0,36.8,536.0,1,1,6866.0,Electronic City,Bangalore,North,Oberoi Realty,Ready To Move,Yes,North-East,Semi-Furnished,2208000.0,2392000.0,2576000.0,2760000.0,2944000.0,3128000.0,3312000.0,3496000.0,3606400.0
646,1786023688-646,Hiranandani Group Signature Estate,2 BHK Flat,2 BHK,9610000.0,96.1,1198.0,2,2,8022.0,Hebbal,Bangalore,Central,Hiranandani Group,Ready To Move,Yes,East,Unfurnished,5766000.0,6246500.0,6727000.0,7207500.0,7688000.0,8168500.0,8649000.0,9129500.0,9417800.0
647,1786023688-647,Lodha Group Crown Heights,3 BHK Flat,3 BHK,14760000.0,147.6,1469.0,3,3,10048.0,Yelahanka,Bangalore,Central,Lodha Group,Under Construction,Yes,North-East,Fully-Furnished,8856000.0,9594000.0,10332000.0,11070000.0,11808000.0,12546000.0,13284000.0,14022000.0,14464800.0
648,1786023688-648,Aparna Constructions Royal Villas,4 BHK Flat,4 BHK,14050000.0,140.5,1985.0,4,4,7078.0,Sarjapur Road,Bangalore,North,Aparna Constructions,Under Construction,Yes,North-East,Fully-Furnished,8430000.0,9132500.0,9835000.0,10537500.0,11240000.0,11942500.0,12645000.0,13347500.0,13769000.0
649,1786023688-649,Brigade Group Grand Towers,5 BHK Villa,5 BHK,20470000.0,204.7,2511.0,5,4,8152.0,Bellandur,Bangalore,Central,Brigade Group,Under Construction,Yes,West,Semi-Furnished,12282000.0,13305500.0,14329000.0,15352500.0,16376000.0,17399500.0,18423000.0,19446500.0,20060600.0
650,1786023688-650,Puravankara Emerald Park,1 BHK Flat,1 BHK,4980000.0,49.8,566.0,1,1,8799.0,Thanisandra,Bangalore,East,Puravankara,Under Construction,Yes,North,Unfurnished,2988000.0,3237000.0,3486000.0,3735000.0,3984000.0,4233000.0,4482000.0,4731000.0,4880400.0
651,1786023688-651,Rustomjee Serene Court,2 BHK Flat,2 BHK,8690000.0,86.9,1163.0,2,2,7472.0,Marathahalli,Bangalore,South,Rustomjee,Ready To Move,Yes,North-East,Fully-Furnished,5214000.0,5648500.0,6083000.0,6517500.0,6952000.0,7386500.0,7821000.0,8255500.0,8516200.0
652,1786023688-652,Tata Housing Skyline Gardens,3 BHK Flat,3 BHK,16030000.0,160.3,1585.0,3,3,10114.0,Jayanagar,Bangalore,South,Tata Housing,Under Construction,Yes,West,Unfurnished,9618000.0,10419500.0,11221000.0,12022500.0,12824000.0,13625500.0,14427000.0,15228500.0,15709400.0
653,1786023688-653,Mahindra Lifespaces Imperia Haven,4 BHK Flat,4 BHK,17690000.0,176.9,2058.0,4,4,8596.0,Rajajinagar,Bangalore,Central,Mahindra Lifespaces,Under Construction,Yes,East,Fully-Furnished,10614000.0,11498500.0,12383000.0,13267500.0,14152000.0,15036500.0,15921000.0,16805500.0,17336200.0
654,1786023688-654,Casagrand Elegance Enclave,5 BHK Villa,5 BHK,20940000.0,209.4,2437.0,5,4,8593.0,Banashankari,Bangalore,South,Casagrand,Under Construction,Yes,North,Unfurnished,12564000.0,13611000.0,14658000.0,15705000.0,16752000.0,17799000.0,18846000.0,19893000.0,20521200.0
655,1786023688-655,Kolte-Patil Urban Square,1 BHK Flat,1 BHK,4590000.0,45.9,624.0,1,1,7356.0,Malleshwaram,Bangalore,Central,Kolte-Patil,Ready To Move,Yes,North,Fully-Furnished,2754000.0,2983500.0,3213000.0,3442500.0,3672000.0,3901500.0,4131000.0,4360500.0,4498200.0
656,1786023688-656,Piramal Realty Central Plaza,2 BHK Flat,2 BHK,8850000.0,88.5,972.0,2,2,9105.0,Kaggadasapura,Bangalore,West,Piramal Realty,Under Construction,Yes,North,Semi-Furnished,5310000.0,5752500.0,6195000.0,6637500.0,7080000.0,7522500.0,7965000.0,8407500.0,8673000.0
657,1786023688-657,Prestige Group Valley Terraces,3 BHK Flat,3 BHK,13320000.0,133.2,1536.0,3,3,8672.0,BTM Layout,Bangalore,South,Prestige Group,Ready To Move,Yes,West,Semi-Furnished,7992000.0,8658000.0,9324000.0,9990000.0,10656000.0,11322000.0,11988000.0,12654000.0,13053600.0
658,1786023688-658,DLF Limited Heights Residences,4 BHK Flat,4 BHK,19530000.0,195.3,1997.0,4,4,9780.0,JP Nagar,Bangalore,East,DLF Limited,Ready To Move,Yes,West,Fully-Furnished,11718000.0,12694500.0,13671000.0,14647500.0,15624000.0,16600500.0,17577000.0,18553500.0,19139400.0
659,1786023688-659,Godrej Properties Palms Greens,5 BHK Villa,5 BHK,21660000.0,216.6,2400.0,5,4,9025.0,C V Raman Nagar,Bangalore,North,Godrej Properties,Under Construction,Yes,West,Semi-Furnished,12996000.0,14079000.0,15162000.0,16245000.0,17328000.0,18411000.0,19494000.0,20577000.0,21226800.0
660,1786023688-660,Sobha Limited Vista Estate,1 BHK Flat,1 BHK,3770000.0,37.7,551.0,1,1,6842.0,Varthur,Bangalore,South,Sobha Limited,Ready To Move,Yes,West,Unfurnished,2262000.0,2450500.0,2639000.0,2827500.0,3016000.0,3204500.0,3393000.0,3581500.0,3694600.0
661,1786023688-661,Oberoi Realty Avenue Heights,2 BHK Flat,2 BHK,8370000.0,83.7,1016.0,2,2,8238.0,Whitefield,Bangalore,West,Oberoi Realty,Under Construction,Yes,North,Fully-Furnished,5022000.0,5440500.0,5859000.0,6277500.0,6696000.0,7114500.0,7533000.0,7951500.0,8202600.0
662,1786023688-662,Hiranandani Group Oasis Villas,3 BHK Flat,3 BHK,13640000.0,136.4,1523.0,3,3,8956.0,Koramangala,Bangalore,West,Hiranandani Group,Ready To Move,Yes,North,Unfurnished,8184000.0,8866000.0,9548000.0,10230000.0,10912000.0,11594000.0,12276000.0,12958000.0,13367200.0
663,1786023688-663,Lodha Group Solitaire Towers,4 BHK Flat,4 BHK,15050000.0,150.5,1975.0,4,4,7620.0,Indiranagar,Bangalore,North,Lodha Group,Ready To Move,Yes,West,Semi-Furnished,9030000.0,9782500.0,10535000.0,11287500.0,12040000.0,12792500.0,13545000.0,14297500.0,14749000.0
664,1786023688-664,Aparna Constructions Signature Park,5 BHK Villa,5 BHK,21730000.0,217.3,2329.0,5,4,9330.0,HSR Layout,Bangalore,South,Aparna Constructions,Ready To Move,Yes,West,Unfurnished,13038000.0,14124500.0,15211000.0,16297500.0,17384000.0,18470500.0,19557000.0,20643500.0,21295400.0
665,1786023688-665,Brigade Group Crown Court,1 BHK Flat,1 BHK,3460000.0,34.6,506.0,1,1,6838.0,Electronic City,Bangalore,South,Brigade Group,Under Construction,Yes,East,Unfurnished,2076000.0,2249000.0,2422000.0,2595000.0,2768000.0,2941000.0,3114000.0,3287000.0,3390800.0
666,1786023688-666,Puravankara Royal Gardens,2 BHK Flat,2 BHK,9750000.0,97.5,1024.0,2,2,9521.0,Hebbal,Bangalore,South,Puravankara,Ready To Move,Yes,North-East,Fully-Furnished,5850000.0,6337500.0,6825000.0,7312500.0,7800000.0,8287500.0,8775000.0,9262500.0,9555000.0
667,1786023688-667,Rustomjee Grand Haven,3 BHK Flat,3 BHK,15180000.0,151.8,1537.0,3,3,9876.0,Yelahanka,Bangalore,North,Rustomjee,Ready To Move,Yes,North,Unfurnished,9108000.0,9867000.0,10626000.0,11385000.0,12144000.0,12903000.0,13662000.0,14421000.0,14876400.0
668,1786023688-668,Tata Housing Emerald Enclave,4 BHK Flat,4 BHK,20490000.0,204.9,2009.0,4,4,10199.0,Sarjapur Road,Bangalore,North,Tata Housing,Ready To Move,Yes,West,Unfurnished,12294000.0,13318500.0,14343000.0,15367500.0,16392000.0,17416500.0,18441000.0,19465500.0,20080200.0
669,1786023688-669,Mahindra Lifespaces Serene Square,5 BHK Villa,5 BHK,24300000.0,243.0,2434.0,5,4,9984.0,Bellandur,Bangalore,East,Mahindra Lifespaces,Ready To Move,Yes,North-East,Fully-Furnished,14580000.0,15795000.0,17010000.0,18225000.0,19440000.0,20655000.0,21870000.0,23085000.0,23814000.0
670,1786023688-670,Casagrand Skyline Plaza,1 BHK Flat,1 BHK,4870000.0,48.7,583.0,1,1,8353.0,Thanisandra,Bangalore,East,Casagrand,Under Construction,Yes,West,Unfurnished,2922000.0,3165500.0,3409000.0,3652500.0,3896000.0,4139500.0,4383000.0,4626500.0,4772600.0
671,1786023688-671,Kolte-Patil Imperia Terraces,2 BHK Flat,2 BHK,9260000.0,92.6,1157.0,2,2,8003.0,Marathahalli,Bangalore,North,Kolte-Patil,Ready To Move,Yes,North,Unfurnished,5556000.0,6019000.0,6482000.0,6945000.0,7408000.0,7871000.0,8334000.0,8797000.0,9074800.0
672,1786023688-672,Piramal Realty Elegance Residences,3 BHK Flat,3 BHK,14420000.0,144.2,1548.0,3,3,9315.0,Jayanagar,Bangalore,West,Piramal Realty,Ready To Move,Yes,East,Fully-Furnished,8652000.0,9373000.0,10094000.0,10815000.0,11536000.0,12257000.0,12978000.0,13699000.0,14131600.0
673,1786023688-673,Prestige Group Urban Greens,4 BHK Flat,4 BHK,17130000.0,171.3,1997.0,4,4,8578.0,Rajajinagar,Bangalore,South,Prestige Group,Ready To Move,Yes,North-East,Semi-Furnished,10278000.0,11134500.0,11991000.0,12847500.0,13704000.0,14560500.0,15417000.0,16273500.0,16787400.0
674,1786023688-674,DLF Limited Central Estate,5 BHK Villa,5 BHK,23600000.0,236.0,2415.0,5,4,9772.0,Banashankari,Bangalore,West,DLF Limited,Ready To Move,Yes,East,Unfurnished,14160000.0,15340000.0,16520000.0,17700000.0,18880000.0,20060000.0,21240000.0,22420000.0,23128000.0
675,1786023688-675,Godrej Properties Valley Heights,1 BHK Flat,1 BHK,4510000.0,45.1,558.0,1,1,8082.0,Malleshwaram,Bangalore,South,Godrej Properties,Ready To Move,Yes,West,Fully-Furnished,2706000.0,2931500.0,3157000.0,3382500.0,3608000.0,3833500.0,4059000.0,4284500.0,4419800.0
676,1786023688-676,Sobha Limited Heights Villas,2 BHK Flat,2 BHK,8540000.0,85.4,1056.0,2,2,8087.0,Kaggadasapura,Bangalore,West,Sobha Limited,Ready To Move,Yes,North,Fully-Furnished,5124000.0,5551000.0,5978000.0,6405000.0,6832000.0,7259000.0,7686000.0,8113000.0,8369200.0
677,1786023688-677,Oberoi Realty Palms Towers,3 BHK Flat,3 BHK,13060000.0,130.6,1523.0,3,3,8575.0,BTM Layout,Bangalore,Central,Oberoi Realty,Ready To Move,Yes,East,Semi-Furnished,7836000.0,8489000.0,9142000.0,9795000.0,10448000.0,11101000.0,11754000.0,12407000.0,12798800.0
678,1786023688-678,Hiranandani Group Vista Park,4 BHK Flat,4 BHK,17810000.0,178.1,1974.0,4,4,9022.0,JP Nagar,Bangalore,Central,Hiranandani Group,Ready To Move,Yes,North-East,Fully-Furnished,10686000.0,11576500.0,12467000.0,13357500.0,14248000.0,15138500.0,16029000.0,16919500.0,17453800.0
679,1786023688-679,Lodha Group Avenue Court,5 BHK Villa,5 BHK,25640000.0,256.4,2535.0,5,4,10114.0,C V Raman Nagar,Bangalore,West,Lodha Group,Under Construction,Yes,North-East,Fully-Furnished,15384000.0,16666000.0,17948000.0,19230000.0,20512000.0,21794000.0,23076000.0,24358000.0,25127200.0
680,1786023688-680,Aparna Constructions Oasis Gardens,1 BHK Flat,1 BHK,6070000.0,60.7,705.0,1,1,8610.0,Varthur,Bangalore,North,Aparna Constructions,Under Construction,Yes,West,Semi-Furnished,3642000.0,3945500.0,4249000.0,4552500.0,4856000.0,5159500.0,5463000.0,5766500.0,5948600.0
681,1786023688-681,Brigade Group Solitaire Haven,2 BHK Flat,2 BHK,8180000.0,81.8,1068.0,2,2,7659.0,Whitefield,Bangalore,Central,Brigade Group,Under Construction,Yes,North,Semi-Furnished,4908000.0,5317000.0,5726000.0,6135000.0,6544000.0,6953000.0,7362000.0,7771000.0,8016400.0
682,1786023688-682,Puravankara Signature Enclave,3 BHK Flat,3 BHK,14330000.0,143.3,1535.0,3,3,9336.0,Koramangala,Bangalore,North,Puravankara,Under Construction,Yes,East,Fully-Furnished,8598000.0,9314500.0,10031000.0,10747500.0,11464000.0,12180500.0,12897000.0,13613500.0,14043400.0
683,1786023688-683,Rustomjee Crown Square,4 BHK Flat,4 BHK,15410000.0,154.1,1877.0,4,4,8210.0,Indiranagar,Bangalore,East,Rustomjee,Under Construction,Yes,North-East,Unfurnished,9246000.0,10016500.0,10787000.0,11557500.0,12328000.0,13098500.0,13869000.0,14639500.0,15101800.0
684,1786023688-684,Tata Housing Royal Plaza,5 BHK Villa,5 BHK,22090000.0,220.9,2362.0,5,4,9352.0,HSR Layout,Bangalore,South,Tata Housing,Ready To Move,Yes,North-East,Fully-Furnished,13254000.0,14358500.0,15463000.0,16567500.0,17672000.0,18776500.0,19881000.0,20985500.0,21648200.0
685,1786023688-685,Mahindra Lifespaces Grand Terraces,1 BHK Flat,1 BHK,4630000.0,46.3,586.0,1,1,7901.0,Electronic City,Bangalore,East,Mahindra Lifespaces,Under Construction,Yes,West,Unfurnished,2778000.0,3009500.0,3241000.0,3472500.0,3704000.0,3935500.0,4167000.0,4398500.0,4537400.0
686,1786023688-686,Casagrand Emerald Residences,2 BHK Flat,2 BHK,9390000.0,93.9,1192.0,2,2,7878.0,Hebbal,Bangalore,East,Casagrand,Under Construction,Yes,East,Unfurnished,5634000.0,6103500.0,6573000.0,7042500.0,7512000.0,7981500.0,8451000.0,8920500.0,9202200.0
687,1786023688-687,Kolte-Patil Serene Greens,3 BHK Flat,3 BHK,13960000.0,139.6,1627.0,3,3,8580.0,Yelahanka,Bangalore,Central,Kolte-Patil,Under Construction,Yes,West,Fully-Furnished,8376000.0,9074000.0,9772000.0,10470000.0,11168000.0,11866000.0,12564000.0,13262000.0,13680800.0
688,1786023688-688,Piramal Realty Skyline Estate,4 BHK Flat,4 BHK,19840000.0,198.4,2001.0,4,4,9915.0,Sarjapur Road,Bangalore,North,Piramal Realty,Ready To Move,Yes,West,Fully-Furnished,11904000.0,12896000.0,13888000.0,14880000.0,15872000.0,16864000.0,17856000.0,18848000.0,19443200.0
689,1786023688-689,Prestige Group Imperia Heights,5 BHK Villa,5 BHK,19680000.0,196.8,2326.0,5,4,8461.0,Bellandur,Bangalore,East,Prestige Group,Ready To Move,Yes,West,Unfurnished,11808000.0,12792000.0,13776000.0,14760000.0,15744000.0,16728000.0,17712000.0,18696000.0,19286400.0
690,1786023688-690,DLF Limited Elegance Villas,1 BHK Flat,1 BHK,4210000.0,42.1,570.0,1,1,7386.0,Thanisandra,Bangalore,East,DLF Limited,Ready To Move,Yes,North-East,Unfurnished,2526000.0,2736500.0,2947000.0,3157500.0,3368000.0,3578500.0,3789000.0,3999500.0,4125800.0
691,1786023688-691,Godrej Properties Urban Towers,2 BHK Flat,2 BHK,8760000.0,87.6,1114.0,2,2,7864.0,Marathahalli,Bangalore,South,Godrej Properties,Under Construction,Yes,East,Fully-Furnished,5256000.0,5694000.0,6132000.0,6570000.0,7008000.0,7446000.0,7884000.0,8322000.0,8584800.0
