Record Number,Listing ID,Property URL,Property Title,Listing Title,Property Type,Configuration,Bedrooms,Bathrooms,Price,Price Range (4 BHK),Price Range (5 BHK),Area,Area Type,Locality,City,Zone,Address,Postal Code,Project Name,Builder / Owner,Seller Type,Brokerage Type,Construction Status,RERA Status,Listing Age,Floor,Total Floors,Parking,Facing,Furnishing,Price / Sqft,Amenities,Special Features,Description,Image URL 1,Image URL 2,Image URL 3,Image URL 4,Images URL,Source Search URL,Source Page URL,Source Row,Estimated Market Price 2016 (₹),Estimated Market Price 2017 (₹),Estimated Market Price 2018 (₹),Estimated Market Price 2019 (₹),Estimated Market Price 2020 (₹),Estimated Market Price 2021 (₹),Estimated Market Price 2022 (₹),Estimated Market Price 2023 (₹),Estimated Market Price 2024 (₹),Estimated Market Price 2025 (₹)
531,1786023688-531,N/A,Godrej Properties Valley Terraces,"2 BHK Flat in Marathahalli, Bangalore",2 BHK Flat,2 BHK,2,2,₹83.4 Lac,N/A,N/A,974 sqft,Built-up Area,Marathahalli,Bangalore,North,"Marathahalli, Bangalore",400531,Godrej Properties Valley Terraces,Godrej Properties,Verified Partner,Zero Brokerage,Under Construction,Yes,4d ago,10,14,1 Covered,North-East,Unfurnished,₹8563 /sqft,"Clubhouse, Jogging Track, Parking, Swimming Pool","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 2 BHK residence located in Marathahalli, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1512917774080-9991f1c4c750?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1512917774080-9991f1c4c750?auto=format&fit=crop&w=800&q=80,N/A,N/A,531,5004000,5421000,5838000,6255000,6672000,7089000,7506000,7923000,8173200,8340000
532,1786023688-532,N/A,Sobha Limited Heights Residences,"3 BHK Flat in Jayanagar, Bangalore",3 BHK Flat,3 BHK,3,3,₹140.7 Lac,N/A,N/A,1420 sqft,Carpet Area,Jayanagar,Bangalore,South,"Jayanagar, Bangalore",400532,Sobha Limited Heights Residences,Sobha Limited,Verified Partner,Zero Brokerage,Ready To Move,Yes,5d ago,11,15,1 Covered,North,Unfurnished,₹9908 /sqft,"Jogging Track, Elevator, Clubhouse, Parking, Security, Tennis Court, Gymnasium","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 3 BHK residence located in Jayanagar, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1600596542815-ffad4c1539a9?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1600596542815-ffad4c1539a9?auto=format&fit=crop&w=800&q=80,N/A,N/A,532,8442000,9145500,9849000,10552500,11256000,11959500,12663000,13366500,13788600,14070000
533,1786023688-533,N/A,Oberoi Realty Palms Greens,"4 BHK Flat in Rajajinagar, Bangalore",4 BHK Flat,4 BHK,4,4,₹181.8 Lac,N/A,N/A,2074 sqft,Plot Area,Rajajinagar,Bangalore,East,"Rajajinagar, Bangalore",400533,Oberoi Realty Palms Greens,Oberoi Realty,Verified Partner,Zero Brokerage,Ready To Move,Yes,6d ago,12,16,1 Covered,East,Semi-Furnished,₹8766 /sqft,"Jogging Track, Garden, Parking, Security, Swimming Pool, Elevator","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 4 BHK residence located in Rajajinagar, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1600585154340-be6161a56a0c?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1600585154340-be6161a56a0c?auto=format&fit=crop&w=800&q=80,N/A,N/A,533,10908000,11817000,12726000,13635000,14544000,15453000,16362000,17271000,17816400,18180000
534,1786023688-534,N/A,Hiranandani Group Vista Estate,"5 BHK Flat in Banashankari, Bangalore",5 BHK Villa,5 BHK,5,4,₹235.6 Lac,N/A,N/A,2479 sqft,Carpet Area,Banashankari,Bangalore,South,"Banashankari, Bangalore",400534,Hiranandani Group Vista Estate,Hiranandani Group,Verified Partner,Zero Brokerage,Under Construction,Yes,7d ago,13,17,1 Covered,West,Semi-Furnished,₹9504 /sqft,"Tennis Court, Jogging Track, Swimming Pool, Security","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 5 BHK residence located in Banashankari, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1600607687939-ce8a6c25118c?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1600607687939-ce8a6c25118c?auto=format&fit=crop&w=800&q=80,N/A,N/A,534,14136000,15314000,16492000,17670000,18848000,20026000,21204000,22382000,23088800,23560000
535,1786023688-535,N/A,Lodha Group Avenue Heights,"1 BHK Flat in Malleshwaram, Bangalore",1 BHK Flat,1 BHK,1,1,₹40.4 Lac,N/A,N/A,547 sqft,Carpet Area,Malleshwaram,Bangalore,Central,"Malleshwaram, Bangalore",400535,Lodha Group Avenue Heights,Lodha Group,Verified Partner,Zero Brokerage,Ready To Move,Yes,8d ago,14,18,1 Covered,North-East,Semi-Furnished,₹7386 /sqft,"Gymnasium, Clubhouse, Parking, Power Backup, Jogging Track","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 1 BHK residence located in Malleshwaram, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1600566753376-12c8ab7fb75b?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1600566753376-12c8ab7fb75b?auto=format&fit=crop&w=800&q=80,N/A,N/A,535,2424000,2626000,2828000,3030000,3232000,3434000,3636000,3838000,3959200,4040000
536,1786023688-536,N/A,Aparna Constructions Oasis Villas,"2 BHK Flat in Kaggadasapura, Bangalore",2 BHK Flat,2 BHK,2,2,₹94.2 Lac,N/A,N/A,986 sqft,Super Built-up Area,Kaggadasapura,Bangalore,Central,"Kaggadasapura, Bangalore",400536,Aparna Constructions Oasis Villas,Aparna Constructions,Verified Partner,Zero Brokerage,Ready To Move,Yes,9d ago,15,19,1 Covered,North,Semi-Furnished,₹9554 /sqft,"Clubhouse, Security, Tennis Court, Jogging Track","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 2 BHK residence located in Kaggadasapura, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1580587771525-78b9dba3b914?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1580587771525-78b9dba3b914?auto=format&fit=crop&w=800&q=80,N/A,N/A,536,5652000,6123000,6594000,7065000,7536000,8007000,8478000,8949000,9231600,9420000
537,1786023688-537,N/A,Brigade Group Solitaire Towers,"3 BHK Flat in BTM Layout, Bangalore",3 BHK Flat,3 BHK,3,3,₹126 Lac,N/A,N/A,1549 sqft,Plot Area,BTM Layout,Bangalore,North,"BTM Layout, Bangalore",400537,Brigade Group Solitaire Towers,Brigade Group,Verified Partner,Zero Brokerage,Under Construction,Yes,10d ago,16,20,1 Covered,East,Semi-Furnished,₹8134 /sqft,"Jogging Track, Parking, Swimming Pool, Elevator, Clubhouse","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 3 BHK residence located in BTM Layout, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1570129477492-45c003edd2be?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1570129477492-45c003edd2be?auto=format&fit=crop&w=800&q=80,N/A,N/A,537,7560000,8190000,8820000,9450000,10080000,10710000,11340000,11970000,12348000,12600000
538,1786023688-538,N/A,Puravankara Signature Park,"4 BHK Flat in JP Nagar, Bangalore",4 BHK Flat,4 BHK,4,4,₹179.7 Lac,N/A,N/A,1886 sqft,Carpet Area,JP Nagar,Bangalore,North,"JP Nagar, Bangalore",400538,Puravankara Signature Park,Puravankara,Verified Partner,Zero Brokerage,Ready To Move,Yes,11d ago,17,21,1 Covered,North-East,Semi-Furnished,₹9528 /sqft,"Elevator, Jogging Track, Parking, Tennis Court, Swimming Pool","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 4 BHK residence located in JP Nagar, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1564013799919-ab600027ffc6?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1564013799919-ab600027ffc6?auto=format&fit=crop&w=800&q=80,N/A,N/A,538,10782000,11680500,12579000,13477500,14376000,15274500,16173000,17071500,17610600,17970000
539,1786023688-539,N/A,Rustomjee Crown Court,"5 BHK Flat in C V Raman Nagar, Bangalore",5 BHK Villa,5 BHK,5,4,₹178.3 Lac,N/A,N/A,2422 sqft,Plot Area,C V Raman Nagar,Bangalore,Central,"C V Raman Nagar, Bangalore",400539,Rustomjee Crown Court,Rustomjee,Verified Partner,Zero Brokerage,Under Construction,Yes,12d ago,18,22,1 Covered,North-East,Unfurnished,₹7362 /sqft,"Parking, Security, Elevator, Jogging Track, Swimming Pool, Power Backup","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 5 BHK residence located in C V Raman Nagar, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1545324418-cc1a3fa10c00?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1545324418-cc1a3fa10c00?auto=format&fit=crop&w=800&q=80,N/A,N/A,539,10698000,11589500,12481000,13372500,14264000,15155500,16047000,16938500,17473400,17830000
540,1786023688-540,N/A,Tata Housing Royal Gardens,"1 BHK Flat in Varthur, Bangalore",1 BHK Flat,1 BHK,1,1,₹49.1 Lac,N/A,N/A,649 sqft,Carpet Area,Varthur,Bangalore,West,"Varthur, Bangalore",400540,Tata Housing Royal Gardens,Tata Housing,Verified Partner,Zero Brokerage,Ready To Move,Yes,1d ago,1,5,1 Covered,West,Unfurnished,₹7565 /sqft,"Parking, Gymnasium, Elevator, Power Backup","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 1 BHK residence located in Varthur, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1513694203232-719a280e022f?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1513694203232-719a280e022f?auto=format&fit=crop&w=800&q=80,N/A,N/A,540,2946000,3191500,3437000,3682500,3928000,4173500,4419000,4664500,4811800,4910000
541,1786023688-541,N/A,Mahindra Lifespaces Grand Haven,"2 BHK Flat in Whitefield, Bangalore",2 BHK Flat,2 BHK,2,2,₹96.5 Lac,N/A,N/A,979 sqft,Plot Area,Whitefield,Bangalore,East,"Whitefield, Bangalore",400541,Mahindra Lifespaces Grand Haven,Mahindra Lifespaces,Verified Partner,Zero Brokerage,Ready To Move,Yes,2d ago,2,6,1 Covered,East,Unfurnished,₹9857 /sqft,"Power Backup, Tennis Court, Elevator, Jogging Track, Clubhouse","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 2 BHK residence located in Whitefield, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1512917774080-9991f1c4c750?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1512917774080-9991f1c4c750?auto=format&fit=crop&w=800&q=80,N/A,N/A,541,5790000,6272500,6755000,7237500,7720000,8202500,8685000,9167500,9457000,9650000
542,1786023688-542,N/A,Casagrand Emerald Enclave,"3 BHK Flat in Koramangala, Bangalore",3 BHK Flat,3 BHK,3,3,₹139 Lac,N/A,N/A,1449 sqft,Super Built-up Area,Koramangala,Bangalore,South,"Koramangala, Bangalore",400542,Casagrand Emerald Enclave,Casagrand,Verified Partner,Zero Brokerage,Ready To Move,Yes,3d ago,3,7,1 Covered,East,Fully-Furnished,₹9593 /sqft,"Security, Power Backup, Swimming Pool, Tennis Court, Jogging Track, Parking","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 3 BHK residence located in Koramangala, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1600596542815-ffad4c1539a9?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1600596542815-ffad4c1539a9?auto=format&fit=crop&w=800&q=80,N/A,N/A,542,8340000,9035000,9730000,10425000,11120000,11815000,12510000,13205000,13622000,13900000
543,1786023688-543,N/A,Kolte-Patil Serene Square,"4 BHK Flat in Indiranagar, Bangalore",4 BHK Flat,4 BHK,4,4,₹161.2 Lac,N/A,N/A,2089 sqft,Built-up Area,Indiranagar,Bangalore,Central,"Indiranagar, Bangalore",400543,Kolte-Patil Serene Square,Kolte-Patil,Verified Partner,Zero Brokerage,Under Construction,Yes,4d ago,4,8,1 Covered,North,Semi-Furnished,₹7717 /sqft,"Clubhouse, Security, Power Backup, Elevator, Parking, Gymnasium","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 4 BHK residence located in Indiranagar, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1600585154340-be6161a56a0c?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1600585154340-be6161a56a0c?auto=format&fit=crop&w=800&q=80,N/A,N/A,543,9672000,10478000,11284000,12090000,12896000,13702000,14508000,15314000,15797600,16120000
544,1786023688-544,N/A,Piramal Realty Skyline Plaza,"5 BHK Flat in HSR Layout, Bangalore",5 BHK Villa,5 BHK,5,4,₹222.6 Lac,N/A,N/A,2385 sqft,Carpet Area,HSR Layout,Bangalore,South,"HSR Layout, Bangalore",400544,Piramal Realty Skyline Plaza,Piramal Realty,Verified Partner,Zero Brokerage,Under Construction,Yes,5d ago,5,9,1 Covered,East,Fully-Furnished,₹9333 /sqft,"Jogging Track, Parking, Swimming Pool, Garden, Elevator, Clubhouse","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 5 BHK residence located in HSR Layout, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1600607687939-ce8a6c25118c?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1600607687939-ce8a6c25118c?auto=format&fit=crop&w=800&q=80,N/A,N/A,544,13356000,14469000,15582000,16695000,17808000,18921000,20034000,21147000,21814800,22260000
545,1786023688-545,N/A,Prestige Group Imperia Terraces,"1 BHK Flat in Electronic City, Bangalore",1 BHK Flat,1 BHK,1,1,₹64.7 Lac,N/A,N/A,648 sqft,Plot Area,Electronic City,Bangalore,North,"Electronic City, Bangalore",400545,Prestige Group Imperia Terraces,Prestige Group,Verified Partner,Zero Brokerage,Ready To Move,Yes,6d ago,6,10,1 Covered,West,Unfurnished,₹9985 /sqft,"Elevator, Clubhouse, Parking, Jogging Track, Security, Gymnasium, Garden","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 1 BHK residence located in Electronic City, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1600566753376-12c8ab7fb75b?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1600566753376-12c8ab7fb75b?auto=format&fit=crop&w=800&q=80,N/A,N/A,545,3882000,4205500,4529000,4852500,5176000,5499500,5823000,6146500,6340600,6470000
546,1786023688-546,N/A,DLF Limited Elegance Residences,"2 BHK Flat in Hebbal, Bangalore",2 BHK Flat,2 BHK,2,2,₹99.4 Lac,N/A,N/A,1090 sqft,Carpet Area,Hebbal,Bangalore,South,"Hebbal, Bangalore",400546,DLF Limited Elegance Residences,DLF Limited,Verified Partner,Zero Brokerage,Ready To Move,Yes,7d ago,7,11,1 Covered,West,Semi-Furnished,₹9119 /sqft,"Clubhouse, Jogging Track, Garden, Elevator","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 2 BHK residence located in Hebbal, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1580587771525-78b9dba3b914?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1580587771525-78b9dba3b914?auto=format&fit=crop&w=800&q=80,N/A,N/A,546,5964000,6461000,6958000,7455000,7952000,8449000,8946000,9443000,9741200,9940000
547,1786023688-547,N/A,Godrej Properties Urban Greens,"3 BHK Flat in Yelahanka, Bangalore",3 BHK Flat,3 BHK,3,3,₹106.7 Lac,N/A,N/A,1444 sqft,Built-up Area,Yelahanka,Bangalore,East,"Yelahanka, Bangalore",400547,Godrej Properties Urban Greens,Godrej Properties,Verified Partner,Zero Brokerage,Under Construction,Yes,8d ago,8,12,1 Covered,North,Unfurnished,₹7389 /sqft,"Swimming Pool, Garden, Power Backup, Jogging Track","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 3 BHK residence located in Yelahanka, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1570129477492-45c003edd2be?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1570129477492-45c003edd2be?auto=format&fit=crop&w=800&q=80,N/A,N/A,547,6402000,6935500,7469000,8002500,8536000,9069500,9603000,10136500,10456600,10670000
548,1786023688-548,N/A,Sobha Limited Central Estate,"4 BHK Flat in Sarjapur Road, Bangalore",4 BHK Flat,4 BHK,4,4,₹165.1 Lac,N/A,N/A,1975 sqft,Carpet Area,Sarjapur Road,Bangalore,West,"Sarjapur Road, Bangalore",400548,Sobha Limited Central Estate,Sobha Limited,Verified Partner,Zero Brokerage,Ready To Move,Yes,9d ago,9,13,1 Covered,North,Semi-Furnished,₹8359 /sqft,"Garden, Gymnasium, Power Backup, Elevator","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 4 BHK residence located in Sarjapur Road, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1564013799919-ab600027ffc6?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1564013799919-ab600027ffc6?auto=format&fit=crop&w=800&q=80,N/A,N/A,548,9906000,10731500,11557000,12382500,13208000,14033500,14859000,15684500,16179800,16510000
549,1786023688-549,N/A,Oberoi Realty Valley Heights,"5 BHK Flat in Bellandur, Bangalore",5 BHK Villa,5 BHK,5,4,₹204.8 Lac,N/A,N/A,2482 sqft,Plot Area,Bellandur,Bangalore,Central,"Bellandur, Bangalore",400549,Oberoi Realty Valley Heights,Oberoi Realty,Verified Partner,Zero Brokerage,Ready To Move,Yes,10d ago,10,14,1 Covered,West,Semi-Furnished,₹8251 /sqft,"Security, Jogging Track, Garden, Parking, Power Backup, Elevator","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 5 BHK residence located in Bellandur, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1545324418-cc1a3fa10c00?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1545324418-cc1a3fa10c00?auto=format&fit=crop&w=800&q=80,N/A,N/A,549,12288000,13312000,14336000,15360000,16384000,17408000,18432000,19456000,20070400,20480000
550,1786023688-550,N/A,Hiranandani Group Heights Villas,"1 BHK Flat in Thanisandra, Bangalore",1 BHK Flat,1 BHK,1,1,₹44.3 Lac,N/A,N/A,636 sqft,Plot Area,Thanisandra,Bangalore,North,"Thanisandra, Bangalore",400550,Hiranandani Group Heights Villas,Hiranandani Group,Verified Partner,Zero Brokerage,Under Construction,Yes,11d ago,11,15,1 Covered,East,Fully-Furnished,₹6965 /sqft,"Gymnasium, Security, Garden, Tennis Court, Swimming Pool","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 1 BHK residence located in Thanisandra, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1513694203232-719a280e022f?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1513694203232-719a280e022f?auto=format&fit=crop&w=800&q=80,N/A,N/A,550,2658000,2879500,3101000,3322500,3544000,3765500,3987000,4208500,4341400,4430000
551,1786023688-551,N/A,Lodha Group Palms Towers,"2 BHK Flat in Marathahalli, Bangalore",2 BHK Flat,2 BHK,2,2,₹87.7 Lac,N/A,N/A,1098 sqft,Super Built-up Area,Marathahalli,Bangalore,South,"Marathahalli, Bangalore",400551,Lodha Group Palms Towers,Lodha Group,Verified Partner,Zero Brokerage,Under Construction,Yes,12d ago,12,16,1 Covered,West,Semi-Furnished,₹7987 /sqft,"Clubhouse, Gymnasium, Parking, Garden, Tennis Court","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 2 BHK residence located in Marathahalli, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1512917774080-9991f1c4c750?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1512917774080-9991f1c4c750?auto=format&fit=crop&w=800&q=80,N/A,N/A,551,5262000,5700500,6139000,6577500,7016000,7454500,7893000,8331500,8594600,8770000
552,1786023688-552,N/A,Aparna Constructions Vista Park,"3 BHK Flat in Jayanagar, Bangalore",3 BHK Flat,3 BHK,3,3,₹157.5 Lac,N/A,N/A,1547 sqft,Plot Area,Jayanagar,Bangalore,South,"Jayanagar, Bangalore",400552,Aparna Constructions Vista Park,Aparna Constructions,Verified Partner,Zero Brokerage,Ready To Move,Yes,1d ago,13,17,1 Covered,East,Semi-Furnished,₹10181 /sqft,"Garden, Power Backup, Swimming Pool, Security, Tennis Court, Jogging Track","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 3 BHK residence located in Jayanagar, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1600596542815-ffad4c1539a9?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1600596542815-ffad4c1539a9?auto=format&fit=crop&w=800&q=80,N/A,N/A,552,9450000,10237500,11025000,11812500,12600000,13387500,14175000,14962500,15435000,15750000
553,1786023688-553,N/A,Brigade Group Avenue Court,"4 BHK Flat in Rajajinagar, Bangalore",4 BHK Flat,4 BHK,4,4,₹161.9 Lac,N/A,N/A,1885 sqft,Plot Area,Rajajinagar,Bangalore,Central,"Rajajinagar, Bangalore",400553,Brigade Group Avenue Court,Brigade Group,Verified Partner,Zero Brokerage,Ready To Move,Yes,2d ago,14,18,1 Covered,West,Fully-Furnished,₹8589 /sqft,"Clubhouse, Power Backup, Garden, Elevator, Swimming Pool, Tennis Court","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 4 BHK residence located in Rajajinagar, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1600585154340-be6161a56a0c?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1600585154340-be6161a56a0c?auto=format&fit=crop&w=800&q=80,N/A,N/A,553,9714000,10523500,11333000,12142500,12952000,13761500,14571000,15380500,15866200,16190000
554,1786023688-554,N/A,Puravankara Oasis Gardens,"5 BHK Flat in Banashankari, Bangalore",5 BHK Villa,5 BHK,5,4,₹234.8 Lac,N/A,N/A,2463 sqft,Built-up Area,Banashankari,Bangalore,Central,"Banashankari, Bangalore",400554,Puravankara Oasis Gardens,Puravankara,Verified Partner,Zero Brokerage,Under Construction,Yes,3d ago,15,19,1 Covered,North-East,Semi-Furnished,₹9533 /sqft,"Swimming Pool, Jogging Track, Elevator, Clubhouse, Garden, Parking","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 5 BHK residence located in Banashankari, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1600607687939-ce8a6c25118c?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1600607687939-ce8a6c25118c?auto=format&fit=crop&w=800&q=80,N/A,N/A,554,14088000,15262000,16436000,17610000,18784000,19958000,21132000,22306000,23010400,23480000
555,1786023688-555,N/A,Rustomjee Solitaire Haven,"1 BHK Flat in Malleshwaram, Bangalore",1 BHK Flat,1 BHK,1,1,₹51.5 Lac,N/A,N/A,514 sqft,Built-up Area,Malleshwaram,Bangalore,Central,"Malleshwaram, Bangalore",400555,Rustomjee Solitaire Haven,Rustomjee,Verified Partner,Zero Brokerage,Under Construction,Yes,4d ago,16,20,1 Covered,North-East,Semi-Furnished,₹10019 /sqft,"Parking, Gymnasium, Swimming Pool, Garden","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 1 BHK residence located in Malleshwaram, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1600566753376-12c8ab7fb75b?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1600566753376-12c8ab7fb75b?auto=format&fit=crop&w=800&q=80,N/A,N/A,555,3090000,3347500,3605000,3862500,4120000,4377500,4635000,4892500,5047000,5150000
556,1786023688-556,N/A,Tata Housing Signature Enclave,"2 BHK Flat in Kaggadasapura, Bangalore",2 BHK Flat,2 BHK,2,2,₹93 Lac,N/A,N/A,1094 sqft,Plot Area,Kaggadasapura,Bangalore,South,"Kaggadasapura, Bangalore",400556,Tata Housing Signature Enclave,Tata Housing,Verified Partner,Zero Brokerage,Ready To Move,Yes,5d ago,17,21,1 Covered,North,Semi-Furnished,₹8501 /sqft,"Jogging Track, Elevator, Parking, Tennis Court, Clubhouse, Security, Garden","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 2 BHK residence located in Kaggadasapura, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1580587771525-78b9dba3b914?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1580587771525-78b9dba3b914?auto=format&fit=crop&w=800&q=80,N/A,N/A,556,5580000,6045000,6510000,6975000,7440000,7905000,8370000,8835000,9114000,9300000
